Month,Company/Brand,Founded,Headquarters,Sector,Founder/s,Investor/s,Amount ($),Stage
December,Bizongo,2015,Mumbai,B2B Ecommerce,"Sachin Agrawal, Aniket Deb, Ankit Tomar",Tiger Global,100000000,Series D
December,FRND,2019,Bangalore,Online Media,"Bhanu Pratap Singh Tanwar, Hardik Bansal, Harshvardhan Chhangani",KRAFTON,6500000,Series A
December,Metadome,2017,Bangalore,Computer Software,"Kanav Singla, Prashant Sinha, Shorya Mahajan","Chiratae Ventures, Lenskart Vision Fund",4000000,Pre-series A
December,Keka HR,2014,Hyderabad,Information Technology & Services,Vijay Yalamanchili,Recur Club,1600000,
December,Flo Mobility,2019,Bangalore,Industrial Automation,"Manesh Jain, Mohan Kumar","DevX Venture Fund, Blume Founder Fund",400000,
December,Yodacart,2019,Thane,E-commerce,Vikas Sharma,Ajith Daneil,225000,Pre-seed
December,TheHouseMonk,2019,Bangalore,Real Estate,"Ajay Kumar, Balaji Varadharajan",Aurum Proptech,5000000,
December,Zepto,2021,Bangalore,E-commerce,"Aadit Palicha, Kaivalya Vohra",Y-Combinator,100000000,
December,Sirona Hygiene,2015,New Delhi,"Health, Wellness & Fitness",Deep Bajaj,The Good Glamm Group,10000000,
December,Jumbotail,2015,Bangalore,B2B Ecommerce,"S Karthik Venkateswaran, Ashish Jhina",Invus,85000000,Series C
December,Captain Fresh,2019,Bangalore,Logistics & Supply Chain,Utham Gowda,"Tiger Global, Prosus Ventures",40000000,Series B
December,Deciwood,2018,New Delhi,Consumer Electronics,Ananya Meena,"Shuru Up, Ankit Kedia, Arun Gupta",200000,
December,Kohbee,2019,Bangalore,E-learning,"Rohan Sinha, Shashwat Aditya","Ankit Mehrotra, Saurabh Aggarwal",235000,Pre-seed
December,Perfora,2021,Gurugram,Consumer Goods,"Tushar Khurana, Jatan Bawa",Sauce.vc,260000,Pre-seed
December,Unbox Robotics,2019,Pune,Logistics & Supply Chain,"Pramod Ghadge, Shahid Memon, Rohit Pitale","3one4 Capital, Sixth Sense Ventures",7000000,Series A
December,Ninety One,2015,Ahmedabad,Consumer Goods,"Sachin Chopra, Vishal Chopra",A91 Partners,30000000,Series A
December,Gobillion,2020,New Delhi,Social commerce,"Roshan Farhan, Kulapradip Bharali","YCombinator, Justin Mateen, Pioneer Fund",2900000,Seed
December,RIPPLR,2019,Bangalore,Logistics & Supply Chain,"Abhishek Nehru, Santosh Dabke","Sojitz Corporation, Stride Ventures",12000000,Pre-series B
December,SK Finance,1994,Jaipur,Financial Services,Rajendra Setia,"IIFL Wealth, TPG Growth, Norwest Venture Partners",53000000,Series F
December,Eggoz,2017,Gurugram,Food & Beverages,"Abhishek Negi, Uttam Kumar, Aditya Singh, Pankaj Pandey","Nabventures, Avaana Capital",3500000,Series A
December,Fabriclore,2016,Jaipur,Apparel & Fashion,"Vijay Sharma, Anupam Arya, Sandeep Sharma","Fluid Ventures, Mulberry Silks",700000,Pre-series A
December,Veefin,2010,Mumbai,Information Technology & Services,"Gautam Udani, Raja Debnath",Rajesh Rajendran,3000000,
December,Verandah,2011,Mumbai,Apparel & Fashion,Anjali Patel Mehta,"Mike Novogratz, Neeraj Arora",1000000,Seed
December,Karkinos Healthcare,2020,Mumbai,Hospital & Health Care,"R Venkataramanan, Ravi Kant",Reliance Digital Health,Undisclosed,
December,OWO Technologies,2020,Gurugram,Food & Beverages,"Ajay Changani, Hardev Sahu",,3000000,Seed
December,EsportsXO,2020,Bangalore,Mobile Games,"Utsav Umang, Rohit Raj, Vikas Goel",We Founder Circle,1100000,Seed
December,The Gourmet Jar,2012,Noida,Food & Beverages,Apeksha Jain,DevX Venture Fund,150000,
December,Zorgers,2013,Mohali,Hospital & Health Care,"Varun Gupta, Anil Kumar, Abhinav Gupta",Ritu Marya Family Office.,Undisclosed,
December,BangDB,2015,Bangalore,Computer Software,Sachin Sinha,Ten Innovate,Undisclosed,
December,Neobank Jupiter,2019,Mumbai,Banking,Jitendra Gupta,"Tiger Global, Sequoia Capital",86000000,Series C
December,Skippi Ice Pops,2021,Hyderabad,Food Production,Ravi Kabra,Shark Tank India,130000,
December,Glii,2020,Noida,Dating,Shivam Kaushik,We Founder Circle,10000,Seed
December,GlobalBees,2021,New Delhi,E-commerce,"Nitin Agarwal, Supam Maheshwari","Premji Invest, Steadview Capital",111000000,Series B
December,Mamaearth,2016,Gurugram,"Health, Wellness & Fitness","Ghazal, Varun Alagh",Sequoia,37000000,
December,SecureNow,2011,Gurugram,Insurance,"Kapil Mehta, Abhishek Bondia",Apis Insurtech Fund I,6000000,Series B
December,Vendor Infra,2019,Gurugram,Construction,Rahul Jain,"SK Tripathi, Sanjeev Gupta",265000,
December,Hakuna Matata,2006,Chennai,Information Technology & Services,Gengarajan PV,Hardcastle Petrofer,1000000,
December,OneCard,2019,Pune,Financial Services,"Rupesh Kumar, Anurag Sinha, Vibhav Hathi","Ocean View Investment, QED Fund",76000000,
November,Zepto,2021,Mumbai,E-commerce,"Aadit Palicha, Kaivalya Vohra","Glade Brook Capital, Nexus, Y Combinator",60000000,
November,Fi,2019,Bangalore,Financial Services,Sumit Gwalani,"Capital Group, Falcon Edge",50000000,Series B
November,Kiko Live,2020,Gurugram,Commerce,"Alok Chawla, Shivam","Dinesh Agarwal, Amarjit Batra",1000000,Pre-series A
November,TurboHire,2019,Hyderabad,Computer Software,Deepak Agrawal,"Arcilla, Samir Khosla",Undisclosed,
November,The Hosteller,2015,Mumbai,Hospitality,Pranav Dangi,"SUNiCON Ventures, Shubhkam Ventures, Jito Angel network, FAAD Network",1000000,Pre-series A
November,SatSure,2017,Bangalore,Defense & Space,"Prateep Basu, Rashmit Singh Sukhmani, Abhishek Raju",Baring PE India,Undisclosed,
November,Ruptok Fintech,2020,New Delhi,Financial Services,Ankur Gupta,Manuvel Malabar Jewellers,2000000,Pre-series A
November,VilCart,2017,Bangalore,Retail,Prasanna Kumar,Nabventures,2000000,
November,Dogsee Chew,2015,Bangalore,Food & Beverages,"Bhupendra Khanal, Sneh Sharma",Sixth Sense Ventures,7000000,Pre-series A
November,Advantage Club,2014,Gurugram,HR Tech,Sourabh Deorah,"Y Combinator, Jetty Ventures, Earlsfield Capital, SMC Advisors, Kunal Shah",3300000,Pre-series A
