Month,Company/Brand,Founded,Headquarters,Sector,Founder/s,Investor/s,Amount ($),Stage
September,Dezerv.,2021,Mumbai,Investment Management,"Sandeep Jethwani, Vaibhav Porwal, Sahil Contractor","Elevation Capital, Matrix Partners India",7000000,Seed
September,AppsForBharat,2020,Bangalore,Product studio,Prashant Sachan,Elevation Capital,10000000,Series A
September,Habbit,2020,Bangalore,EdTech,"Somnath Sandeep, Raghav Goyal",Ashok Goyal,320000,Pre-seed
September,Bikayi,2019,Hyderabad,E-commerce,"Sonakshi Nathani, Ashutosh Singla",Sequoia Capital India,10000000,Series A
September,Sugar.fit,2021,Bangalore,Health,"Shivtosh Kumar, Madan Somasundaram","Cure.fit, Endiya Partners, Tanglin Venture",10000000,
September,Dukaan,2020,Bangalore,Retail,"Suumit Shah, Subhash Choudhary","HOF Capital, Old Well Ventures, LetsVenture, 9Unicorns",11000000,Series A
September,Vidyakul,2017,Gurugram,EdTech,"Tarun Saini, Gaurav Singhvi",We Founder Circle,500000,Bridge
September,Goodmylk,2015,Bangalore,Food & Beverages,Abhay Rangan,"Jinisha Sharma, Aditya Agarwal, Victoria, Abhishek Shroff",1000000,Seed
September,Fieldproxy,2016,Chennai,SaaS startup,"Swaroop Vijayakumar, Balakrishna B","LetsVenture, 2am VC, magic.fund",200000,Seed
September,NeuroPixel.AI,2020,Bangalore,Deeptech,,"Arvind Venugopal Nair, Amritendu Mukherjee",800000,Seed
September,Elixia Tech Solutions,2011,Mumbai,Information Technology & Services,Sanket Sheth,Rajasthan Venture Capital Fund,1000000,Pre-series A
September,bitsCrunch,2020,Chennai,Blockchain,Saravanan Jaichandaran,"Covalent, Double Peak, GenBlock Capital, Ledger Prime, MEXC Global, Synaps",700000,Seed
September,Prolgae,2016,The Nilgiris,Biotechnology,Aakas Sadasivam,Vijayan,200000,Seed
September,Biddano,2016,Pune,"Health, Wellness & Fitness","Talha Shaikh, Ashok Yadav","Gokul Rajaram, JPIN, Venture Catalysts UK, AngelList",2000000,Pre-series A1
September,Geniemode,2021,Gurugram,B2B,"Amit Sharma, Tanuj Gangwani",Info Edge Ventures,2000000,
September,Sapio Analytics,2019,Mumbai,Computer Software,"Hardik Somani, Ashwin Srivastava, Shripal Jain, Viral Vora","Rachit Poddar, Rajesh Gupta",Undisclosed,
September,Neokred,2019,Bangalore,FinTech,"Tarun Nazare, Rohith Reji","Virenxia Group, Rajesh Jain, Nitin Agarwal",500000,Seed
September,Delhivery,2011,Gurugram,Logistics & Supply Chain,Sahil Barua,Addition,76000000,Series I
September,Flipspaces,2011,Mumbai,Design,Kunal Sharma,Prashasta Seth,2000000,Pre-series B
September,Fleek,2021,Bangalore,Internet,"Aditya Uttaravalli, Arvind Eashwar",Axilor,1000000,Seed
September,GoKwik,2020,New Delhi,Information Technology & Services,"Ankush Talwar, Chirag Taneja, Vivek Bajpai","Matrix Partners India, Jitendra Gupta, RTP Global",5000000,Pre-series A
September,Proeon,2018,Pune,Food Production,"Ashish Korde, Kevin Parekh","Shaival Desai, Flowstate Ventures",2000000,Seed
September,InfyU Labs,2019,Gandhinagar,AgriTech,"Amit Srivastava, Ankit Chauhan",IAN,200000,Seed
September,TechEagle,2015,Gurugram,Aviation & Aerospace,Vikram Singh Meena,India Accelerator,500000,Seed
September,Voxelgrids,2017,Bangalore,Deeptech,Arjun Arunachalam,Zoho,5000000,
September,Cogos Technologies,2016,Bangalore,Logistics & Supply Chain,Prasad Sreeram,Transworld Group,2000000,Pre-series A
September,Gigforce,2019,Gurugram,Staffing & Recruiting,"Chirag Mittal, Anirudh Syal",Endiya Partners,3000000,Pre-series A
September,Vahdam,2015,New Delhi,Food & Beverages,Bala Sarda,IIFL AMC,20000000,Series D
September,Leap Finance,2019,Bangalore,Financial Services,"Arnav Kumar, Vaibhav Singh",Owl Ventures,55000000,Series C
September,CollegeDekho,2015,Gurugram,EdTech,Ruchir Arora,"Winter Capital, ETS, Man Capital",26000000,Series B
September,WeRize,2019,Bangalore,Financial Services,"Vishal Chopra, Himanshu Gupta","3one4 Capital, Kalaari Capital",8000000,Series A
August,Karbon Card,2019,Bangalore,FinTech,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha",Y Combinator,Undisclosed,
August,Factors.AI,2020,Bangalore,SaaS startup,"Aravind Murthy, Praveen Das, Srikrishna Swaminathan","Elevation Partners, Emergent Ventures",2000000,
August,Elevar,2017,Mumbai,Sports,"Kunal Joshi, Pranav Marwah","Kalaari Capital, Dream Capital",2000000,
August,Studio Sirah,2020,Bangalore,Computer Games,"Abhaas Shah, Prateek Shah",Lumikai,800000,
August,OTO Capital,2018,Mumbai,FinTech,"Harsh Saruparia, Sumit Chhazed",Matrix Partners India,6000000,
August,1Bridge,2016,Bangalore,Consumer Goods,"Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,2500000,
August,Skeps,2018,Gurugram,FinTech,"Mayank Tewari, Tushar Srivastava",Bertelsmann India,9500000,
August,Curefoods,2020,Bangalore,Food & Beverages,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000,
August,TartanSense,2015,Bangalore,Information Technology,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000,
August,Bewakoof,2012,Mumbai,Apparel & Fashion,Prabhkiran Singh,InvestCorp,8000000,
August,Kirana247,2018,New Delhi,Logistics & Supply Chain,"Tarun Jiwarajka, Pankhuri Jiwarajka",,1000000,
August,FanPlay,2020,Computer Games,Computer Games,YC W21,"Pritesh Kumar, Bharat Gupta",Upsparks,1200000
August,NeoDocs,2020,Mumbai,Healthtech,"Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",Undisclosed,
August,IsGoingOnline,2015,Cochin,Retail,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000,
August,Camp K12,2010,Gurugram,EdTech,Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000,
August,Elda Health,2020,Bangalore,Healthcare,"Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000,
August,Sporjo,2020,Mumbai,SportsTech,G Srinivvasan,Punit Balan,2000000,
August,Advantage Club,2014,Mumbai,HRTech,"Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",1700000,
August,SuperGaming,2017,Pune,Gaming,"Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000,
August,Ruptok,2020,New Delhi,FinTech,Ankur Gupta,Eclear Leasing,1000000,
August,Curefoods,2020,Bangalore,Food & Beverages,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000,
August,TartanSense,2015,Bangalore,Information Technology,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000,Series A
August,Bewakoof,2012,Mumbai,Apparel & Fashion,Prabhkiran Singh,InvestCorp,8000000,
August,Kirana247,2018,New Delhi,Logistics & Supply Chain,"Tarun Jiwarajka, Pankhuri Jiwarajka",,1000000,Pre-series A
August,FanPlay,2020,Computer Games,Computer Games,YC W21,"Pritesh Kumar, Bharat Gupta",Upsparks,1200000
August,NeoDocs,2020,Mumbai,Healthtech,"Nikunj Malpani, Anurag Meena, Pratik Lodha","Y Combinator, 9Unicorns, Titan Capital",Undisclosed,Pre-seed
August,IsGoingOnline,2015,Cochin,Retail,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000,Pre-series A
August,Camp K12,2010,Gurugram,EdTech,Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000,Series A
August,Elda Health,2020,Bangalore,Healthcare,"Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000,Seed
August,Sporjo,2020,Mumbai,SportsTech,G Srinivvasan,Punit Balan,2000000,Pre-series A
August,Advantage Club,2014,Mumbai,HRTech,"Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",1700000,
August,SuperGaming,2017,Pune,Gaming,"Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000,Series A
August,Ruptok,2020,New Delhi,FinTech,Ankur Gupta,Eclear Leasing,1000000,
August,O’ Be Cocktails,2019,Bangalore,Wine & Spirits,Nitesh Prakash,"First Cheque, Letsventure",400000,
August,Zetwerk,2018,Bangalore,Mechanical & Industrial Engineering,"Srinath Ramakkrushnan, Amrit Acharya",,150000000,Series E
August,AppsForBharat,2020,Bangalore,Spiritual,Prashant Sachan,"Sequoia Capital India, BEENEXT",4000000,Seed
August,Imagimake,2011,Mumbai,Consumer Goods,"Disha Katharani, Ravi Jalan",Velocity,Undisclosed,
August,Khatabook,2018,Bangalore,Financial Services,"Ravish Naresh, Ashish Sonone","Tribe Capital, Moore Strategic Ventures (MSV)",100000000,Series C
August,Smytten,2015,Gurugram,Consumer Goods,"Swagat Sarangi, Siddhartha Nangia.",Fireside Ventures,6000000,Series A
August,Syook,2016,Bangalore,Industrial Automation,"Saurabh Sharma, Aman Agarwal, Arjun Nagarajan","Inflection Point Ventures, ONGC",1000000,Series A
August,Akudo,2020,Bangalore,FinTech,"Lavika Aggarwal, Sajal Khanna, Jagveer Gandhi","Y Combinator, Incubate Fund India",Undisclosed,Pre-Seed
August,NOTO,2019,Mumbai,Consumer Goods,"Varun Sheth, Ashni Sheth","Titan Capital, Rockstud Capital, John Abraham, WEH Ventures",500000,Pre-Series A
August,Lumiq,2013,Noida,Information Technology,Shoaib Mohammad,Info Edge Ventures,2000000,Seed
August,CommerceUp,2018,Gurugram,Information Technology,Piyush Pathak,NB Ventures,Undisclosed,Seed
August,Breathe Well-being,2015,Gurugram,Health,"Rohan Verma, Aditya Kaicker",Accel,5500000,Series A
August,Hike,2012,New Delhi,Information Technology,Kavin Bharti Mittal,"Binny Bansal, Kunal Shah",Undisclosed,
August,House of Kieraya,2013,Bangalore,Lifestyle,Ajith Mohan Karimpana,TradeCred,15000000,
August,goEgoNetwork,2019,Pune,Automotive,"Dheeman Kadam, Sayantan Chakraborti",,2000000,
August,Probus,2017,New Delhi,IoT,"Anand Singh, Ankit Vaish, Sunny Kumar Jadoon",Unicorn India Ventures,500000,Bridge
August,DrinkPrime,2016,Bangalore,Consumer Goods,Anil Kejriwal,"UC Inclusive Credit, Western Capital",1000000,
August,Smart Express,,Mumbai,Logistics,Yogesh Dhingra,"IIFL India Private Equity Fund, Smiti Holding & Trading Company",10000000,Seed
August,Smallcase,2015,Bangalore,FinTech,"Anugrah Shrivastava, Vasanth Kamath, Rohan Gupta",Faering Capital,40000000,Series C
August,SATYA MicroCapital,2017,New Delhi,Banking,Vivek Tiwari,"responsAbility Investments, Blue Orchard",10000000,
August,Snack Amor,2014,Mumbai,Food & Beverages,Deepak Grover,"Sanchit Agarwal, Sujan Sinha, Michael Cooke",Undisclosed,
August,Postman,2014,Bangalore,Computer software,"Abhinav Asthana, Abhijit Kane, Ankit Sobti","CRV, Nexus Venture Partners",225000000,Series D
August,Hashnode,2016,Bangalore,Computer software,"Syed Fazle Rahman, Sandeep Panda","Salesforce Ventures, Sierra Ventures, Sequoia Capital India’s Surge",6700000,Series A
August,RACEnergy,2018,Hyderabad,Automotive,Arun Sreyas Reddy,"Micelio Fund, growX ventures",1300000,Seed+
August,BharatPe,2018,New Delhi,FinTech,"Ashneer Grover, Shashvat Nakrani","IIFL Wealth, Asset Management, Northern Arc Capital",20000000,Debt
August,Gyde,2019,Pune,Computer software,"Prasanna Vaidya, Shubham Deshmukh","Better Capital, Ashish Achrekar",250000,Seed
August,BatteryPool,2018,Pune,Automotive,Ashwin Shankar,IAN,Undisclosed,Seed
August,AgNext,2016,Chandigarh,AgriTech,Taranjeet Singh Bhamra,Alpha Wave Incubation,21000000,Series A
August,Xpresslane,2019,Bangalore,Tech startup,Ashwin Koorakula,"Point One Capital, Yatra Angel Network (YAN), Opus Consulting, Manipal Technologies.",400000,Pre-seed
August,LoanKuber,2016,New Delhi,Digital mortgage,Saurabh Nagpal,,1200000,Pre-Series A
August,OYO,2013,Gurugram,Hospitality,Ritesh Agarwal,Microsoft,5000000,Series F2
August,Rapido,2015,Bangalore,Information Technology & Services,"Aravind Sanka, Pavan Guntupalli, SR Rishikesh","Shell Ventures, Yamaha, Kunal Shah",52000000,
August,YPay,2017,Noida,Fintech,Dr Navneet Gupta,We Founder Circle,400000,
August,SleepyCat,2017,Mumbai,Furniture,Kabir Siddiq,"Saama Capital, DSG Consumer Partners, Sharrp Ventures",3800000,
August,Ultrahuman,2020,Bangalore,Healthcare,"Mohit Kumar, Vatsal Singhal",Tiger Global’s Scott Schleifer,17500000,
August,UpScalio,2021,Gurugram,E-commerce,Gautam Kshatriya,,42000000,
August,Yellow Class,2020,Gurugram,EdTech,"Anshul Gupta, Arpit Mittal",Elevation Capital,6000000,
August,Yojak,2019,Gurugram,B2B marketplace,Anuj Jain,Info Edge Ventures,3800000,
August,CreatorStack,2019,Bangalore,Computer software,"Ankit Acharya, Kevin William David",Accel,2000000,
August,Expertrons,2019,Mumbai,EdTech,"Jatin Solank, Vivek Gupta","Venture Catalysts, Auxano Capital, Venture Garage, Yoga Capital, Ah!Ventures, Lead Angels",2300000,
August,Rage Coffee,2018,New Delhi,Food & Beverages,Bharat Sethi,Sixth Sense Ventures,5000000,
August,Klub,2019,Bangalore,Financial Services,"Anurakt Jain, Ishita Verma","9Unicorns, Sequoia Capital India’s Surge",20000000,
August,Navia Life Care,2016,New Delhi,Healtcare,"Nupur Khandelwal, Kunal Kishore Dhawan, Gaurav Gupta","Anicut Angel Fund, 9 Unicorns",1000000,
August,1K Kirana Bazaar,2018,Gurugram,Retail,"Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh","Info Edge, FalconEdge",7000000,
August,Zupee,2018,Gurugram,Gaming,"Dilsher Singh, Siddhant Saurabh","WestCap Group, Tomales Bay Capital",30000000,
August,Locale.ai,2019,Bangalore,Location Analytics,"Rishabh Jain, Aditi Sinha","Chiratae Ventures, Better Capital",1000000,
August,VerSe Innovation,2018,Bangalore,Media,Umang Bedi,"Siguler Guff, Baillie Gifford",450000000,
August,MetroRide,2020,Bangalore,Transportation,"Girish Nagpal, Kaaman Agarwal",,Undisclosed,
August,Miko,2015,Mumbai,Consumer Electronics,"Sneh R Vaswani, Prashant V Iyengar, Chintan S Raikar","IIFL AMC, Mankind Pharma Family Office, Aroa Ventures",28000000,
August,Whiz League,2020,New Delhi,EdTech,"Natasha Jain, Sonia Agarwal Bajaj",ITI Growth Opportunities,300000,
August,Hash,2020,New Delhi,Tobacco,Shwetank Jain,Amrac Investment Trust,3500000,
August,Unacademy,2015,Bangalore,EdTech,"Gaurav Munjal, Hemesh Singh, Roman Saini",Bhavin Turakhia,Undisclosed,
August,Log 9 Materials,2014,Bangalore,Deeptech,"Akshay Singhal, Kartik Hajela",Amara Raja Batteries,8500000,Series A+
August,upGrad,2015,Mumbai,EdTech,"Phalgun Kompalli, Ronnie Screwvala, Mayank Kumar",India Infoline Finance,25000000,
August,FlashPrep,2020,Bangalore,EdTech,"Dhiresh Nagwani, Ashwini Dhekane",Venture Highway,500000,Pre-seed
August,Kenko Health,2019,Mumbai,Insuretech,"Aniruddha Sen, Dhiraj Goel","BEENEXT, Orios",1700000,Pre-series A
August,Wiz Freight,2020,Chennai,Logistics & Supply Chain,"Ramkumar Govindarajan, Ramkumar Ramachandran",Axilor,3500000,Seed
August,Credgenics,2018,New Delhi,Financial Services,"Rishabh Goel, Mayank Khera, Anand Agrawal","Westbridge Capital, Tanglin Venture Partners",25000000,Series A
August,BlueLearn,2020,Goa,EdTech,"Harish Uthayakumar, Shreyans Sancheti","100X.VC﻿,﻿ Titan Capital, Rahul Mathur, Gaurav Mandlecha",400000,Pre-seed
August,NimbleBox.ai,2018,Chennai,MLOps platform,"Anshuman Pandey, Rohan Pooniwala",Venture Catalysts,1000000,Seed
August,Pickrr,2015,Gurugram,Logistics & Supply Chain,"Rhitiman Majumdar, Gaurav Mangla, Ankit Kaushik","IIFL, Amicus Capital, Ananta Capital",12000000,Series B
August,Stellaris Venture Partners,2015,Bangalore,Venture Capital,"Ritesh Banglani, Alok Goyal, Rahul Chowdhri",,225000000,
August,Grip Invest,2020,Gurugram,Financial Services,"Nikhil Aggarwal, Vivek Gulati","Venture Highway, Endiya Partners",3000000,Series A
August,Heads Up For Tails,2008,New Delhi,Pet care,Rashi Sanon,"Verlinvest, Sequoia Capital India",37000000,Series A
August,Blue Tokai Coffee Roasters,2012,New Delhi,Food & Beverages,"Matt Chitharanjan, Shivam Shahi, Namrata Asthana",Anicut Angel Fund,2000000,Pre-series B
August,Neeman,2017,Hyderabad,Consumer Goods,Taran Chhabra,Sixth Sense Ventures,2000000,Series A
August,BharatPe,2018,New Delhi,FinTech,"Ashneer Grover, Shashvat Nakrani",Tiger Global,370000000,Series E
August,GoSats,2020,Bangalore,FinTech,"Mohammed Roshan, Roshni Aslam","Alphabit Fund, Fulgur Ventures, Stacks Accelerator, SBX Capital",700000,Seed
August,StockGro,2020,Bangalore,FinTech,Ajay Lakhotia,"Roots Ventures, Velo Partners",5000000,Pre-series A
August,Onsurity,2020,Bangalore,Healthcare,"Yogesh Agarwal, Kulin Shah",Nexus Venture Partners,16000000,Series A
August,Khabri,2017,Gurugram,Media,"Pulkit Sharma, Aankit Roy, Sandeep Singh",,2000000,Pre-series A
August,Celcius,2020,Mumbai,Logistics,Swarup Bose,"Mumbai Angels Network, Huddle, Lumis Partners",500000,
August,AyuRythm,2017,Bangalore,Healthcare,Abhilesh Gupta,SucSEED Indovation Fund,undisclosed,Seed
August,Enguru,2014,Bangalore,EdTech,"Arshan Vakil, Tahem Veer Verma, Udit Hinduja","Potencia Ventures, Bisk Ventures, LetsVenture, Ronnie Screwvala, Arihant Patni",undisclosed,Pre-series A
August,Rocket Skills,2020,Gurugram,EdTech,"Vibhu Bahuguna, Mohit Jain","Better Capital, First Cheque, Titan Capital",200000,Pre-seed
August,RenewBuy,2015,Gurugram,FinTech,Balachander Sekhar,Evolvence Capital,10000000,Series C
August,Faarms,2020,Bangalore,AgriTech,"Taranbir Singh, Alok Duggal",,2000000,Seed
August,UrbanMatrix Technologies,2019,Chennai,Drone,"Rishabh Verma, Ashutosh Kumar, Divyanshu Pundir",SARA ELGI,100000,
August,Jupiter,2019,Mumbai,Banking,Jitendra Gupta,"Nubank, Global Founders Capital, Sequoia Capital India, Matrix Partners India",44000000,Series B
August,Pixuate,2012,Bangalore,DeepTech,"Akshata Kari, Prathvi Palekar",SucSEED Indovation Fund,1000000,Seed
August,Playo,2014,Bangalore,SportsTech,Daanish Suhail,ah! Ventures High Tables,500000,Pre-series A
August,Toothsi,2018,Mumbai,Health,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale","Eight Roads Ventures, Think Investments, Mankekar Family Office",20000000,Series B
August,Soothe Healthcare,2012,New Delhi,Consumer Goods,Sahil Dharia,A91 Partners,10000000,Series C
August,Goodmeetings,2020,Bangalore,Computer software,Srinivasan Narayan,Chiratae Ventures,1700000,Series A
August,Apnaklub,2020,Bangalore,Wholesale,"Shruti, Manish Kumar",Sequoia’s Surge,3500000,Seed
August,ChefKart,2020,Gurugram,Consumer Goods,"Vaibhav Gupta, Arpit Gupta, Aman Gupta","Lead Angels, Titan Capital, Pravega Ventures",300000,Pre-seed
August,Fashinza,2020,Gurugram,Apparel & Fashion,"Pawan Gupta, Abhishek Sharma","Accel Partners, Elevation Capital",20000000,Series A
August,Fabheads,2015,Chennai,Industrial Automation,Dhinesh Kanagaraj,"Inflection Point Ventures, Rockstud Capital, FirstPort Capital, Bliss Flow Investments Pvt Ltd",undisclosed,Pre-series A
August,QuickShift,2016,Pune,Logistics & Supply Chain,Anshul Goenka,"Anicut Angel Fund, Axilor Ventures",770000,Seed
August,StackBOX,2016,Bangalore,Logistics & Supply Chain,"Shanmukha Boora, Sabyasachi Bhattacharjee","Ecosystem Ventures, CMM group",1200000,
August,MedPrime Technologies,2014,Thane,Healthcare,"Samrat, Greeshma Unnikrishnan, Binil Jacob, Mahesh Kumar Rathor","Mumbai Angels Network, Social Alpha",undisclosed,Seed
August,infra.market,2016,Thane,Construction,"Souvik Sengupta, Aaditya Sharda",Tiger Global,125000000,Series D
July,SP Robotic Works,2012,Chennai,EdTech,"Sneha Priya, Pranavan S",Mount Judi India Growth Fund,3000000,Series A
July,3SC,2018,Gurugram,Logistics,"Lalit, Sarita Das",GEF Capital’s South Asia Fund,15000000,Series B
July,Chai Waale,2018,Chennai,Food & Beverages,Vidur Maheswari,"Sunil Sethia, Sunil Kumar Singhvi, Manish Mardia",600000,
July,Minimalist,2020,Jaipur,Cosmetics,"Mohit, Rahul Yadav",Sequoia Capital,10000000,Series A
July,Biconomy,2019,New Delhi,Blockchain,"Aniket Jindal, Sachin Tomar","Mechanism Capital, DACM",9000000,
July,Fixcraft,2018,Gurugram,Automotive,"Vivek Sharma, Abhishek Goyal, Inderjeet Rao",,1000000,Pre-series A
July,Slice,2016,Bangalore,Financial Services,Rajan Bajaj,"Northern Arc Capital, Niyogin Fintech Limited, Credit Saison India, Vivriti Capital",10000000,
July,90+ My Tuition App,2015,Bangalore,EdTech,Vingish Vijay,Pearl Investment LLC,5000000,Series A
July,Wasabi,2021,Bangalore,Consulting,"Pradeep Dodle, Nikhil Goenka","021 Capital, Sparrow Capital",1800000,Seed
July,Strata,2019,Bangalore,Real Estate,"Sudarshan Lodha, Priyanka Rathore","Kotak Investment Advisors Limited, Gruhas Proptech",6000000,Series A
July,Ourbetterplanet,2020,Bangalore,E-commerce,Pallavi Srivastava,VANS Group,300000,Seed
July,Murf.ai,2020,Bangalore,SaaS startup,"Sneha Roy, Ankur Edkie, Divyanshu Pandey",Elevation Capital,1500000,Seed
July,JetSynthesys,2014,Pune,Media,Rajan navani,Sachin Tendulkar,2000000,
July,MYFITNESS,2019,Silvassa,Fitness,"Mohammad Patel, Rahil Virani",9Unicorns,1000000,Seed
July,I am Love,2020,Mumbai,Healthcare,Shilpa Rathi,Xentel Investments,4000000,Seed
July,MyGlamm,2015,Mumbai,D2C,"Darpan Sanghvi, Priyanka Gill",Accel Partners,40000000,
July,Gumlet,2019,Bangalore,IT,"Divyesh Patel, Aditya Patadia",Sequoia’s Surge,1600000,
July,Eloelo,2015,Bangalore,Gaming,"Saurabh Pandey, Akshay Dubey","Waterbridge, Lumikai",2000000,Pre-series A
July,Edukemy,2020,Noida,EdTech,Chandrahas Panigrahi,"Auxano, Falcon5",2000000,Pre-series A
July,Zingbus,2019,Gurugram,Mobility,"Mratunjay, Prashant Kumar, Ravi Kumar Verma",Infoedge ventures,5000000,Pre-series A
July,NewsReach,2018,Ahmedabad,Media,"Soniya Kundnani, Darshan Shah",JITO Angel Network,300000,Seed
July,Pencilton,2017,Hyderabad,FinTech,"VishwajitPureti, Ashish Singh, Pallavi Tipparaju, Viraj Gadde",Jupiter,330000,Pre-seed
July,Bandhoo,2020,Gurugram,IT,"Prashant Gupta, Sridhar Sundaram",Unitus Ventures,1000000,
July,ixigo,2007,Gurugram,IT,"Rajnish Kumar, Aloke Bajpai","GIC, Infoedge",53000000,
July,The Whole Truth,2019,Mumbai,Food & Beverages,Shashank Mehta,Sequoia Capital,6000000,Series A
July,Insane AI,2021,Bangalore,Fitness,"Anurag Mundhada, Jayesh Hannurkar, Sourabh Agrawal",pi Ventures,800000,Seed
July,Learn4o Technology,2020,Jaipur,E-learning,Kamal Kant Gupta,IAN,undisclosed,Seed
July,Droom,2014,Gurugram,Automobile,Sandeep Aggarwal,,200000000,
July,Skymet,2003,Noida,Environmental Services,Yogesh Patil,"Northern Arc, Caspian Impact Investments",1000000,
July,Go Swift,2019,Bangalore,Consumer Services,"Shyam Kalita, Debanshu Sinha, Prayas Mittal",Kalaari Capital,2000000,Pre-series A
July,Mamaearth,2016,Gurugram,Healthcare,"Varun Alagh, Ghazal Alagh",Sofina Ventures SA,50000000,
July,G.O.A.T,2021,Bangalore,D2C,"Rishi Vasudev, Rameswar Misra","Tiger Global, Flipkart Ventures",36000000,Series A
July,Keeros,2017,Lucknow,Food & Beverages,"Sachin Sahni, Simran Sahni",Venture Catalysts,Undisclosed,Pre-series A
July,ReDesyn,2016,Mumbai,Merchandise,"Smriti Dubey, Shikhar Vaidya",Anthill Ventures,300000,Pre-series A
July,Inspacco,2019,Pune,Facilities Services,"Sanket Nerkar, Paresh Kotkar",,200000,
July,Knorish,2016,Gurugram,EdTech,"Rakhi Wadhwa, Kinner N Sacchdev","Inflection Point Ventures, Rockstud Capital, Pentathlon Ventures, Prophetic Ventures syndicate",1000000,Pre-series A
July,Dozee,2015,Bangalore,Healthcare,"Mudit Dandwate, Dandwate",Prime VP,5000000,Series A
July,BlackBuck,2015,Bangalore,Logistics & Supply Chain,"B Ramasubramanian, Chanakya Hridaya, Rajesh Yabaji","Tribe Capital, IFC Emerging Asia Fund, VEF",67000000,Series E
July,Mailmodo,2020,Bangalore,Marketing & Advertising,"Aquibur Rahman, Apurv Gupta, Devyesh Tandon","Sequoia’s Surge, Y Combinator",2000000,Seed
July,SuperBeings,2019,Bangalore,Computer software,"Yasharth Mishra, Gaurav Bhawnani, Kunal Mishra",Endiya Partners,Undisclosed,Seed
July,NirogStreet,2018,New Delhi,Healthcare,Ram N Kumar,"Gokul Rajaram, Pureland Venture, Wavemaker Partners",2500000,Series A
July,Hyreo,2016,Thiruvananthapuram,Human Resources,"Arun Satyan, Mahesh Raju, Sreenath N",Callapina Capital,Undisclosed,Pre-series A
July,GODI Energy,2020,Hyderabad,Automotive,Mahesh Godi,Blue Ashva Capital,Undisclosed,
July,Even,2020,Bangalore,Healthcare,"Mayank Banerjee, Matilde Giglio, Alessandro Davide Ialongo",Khosla Ventures,5000000,Seed
July,Captain Fresh,2019,Bangalore,Logistics,Utham Gowda,"Accel Partners, Matrix India",12000000,Series A
July,Otipy,2020,Gurugram,Food & Beverages,Varun Khurana,"Omidyar Network India, Innoven Capital",10200000,Series A
July,Lenskart,2008,Faridabad,Eyewear,Peyush Bansal,"Temasek, Falcon Edge",220000000,
July,Eka.care,2020,Bangalore,Healthcare,Vikalp Sahni,"Deep Kalra, Ashish Kashyap, Rajesh Magow",4500000,
July,Braingroom,2015,Chennai,EdTech,"Madhula Sathyamoorthy, Naliene Ramasamy, Kalaiarsi Periasamy","IAN, Social Alpha, Startup Oasis",200000,
July,Edvizo,2017,Bangalore,Consumer Services,Ravi Nishant,Inflection Point Ventures,1000000,Pre-series A
July,Credenc,2017,New Delhi,FinTech,Avinash Kumar,Capital India,25000000,
July,GlobalBees,2021,New Delhi,D2C Business,Nitin Agarwal,"FirstCry, Lightspeed Venture Partners",150000000,Series A
July,Spinny,2015,Gurugram,Automotive,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur",Tiger Global,108000000,Series D
July,Mynvax,2017,Bangalore,Biotechnology,"Dr Raghavan Varadarajan, Dr Gautham Nadig","Accel, LetsVenture, 1Crowd",4000000,Series A
July,RiseBird,2018,Pune,Human Resources,Ashutosh Seth,SAB Holdings,500000,
July,Uvi Health,2020,Bangalore,Healthcare,Mehak Malik,Titan Capital,330000,Pre-seed
July,Vegrow,2020,Bangalore,Farming,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Lightspeed Venture Partners, Elevation Capital",13000000,
July,Automovill,2015,Bangalore,Automotive,"Mridu Mahendra Das, Chinmay Baruah",Mumbai Angels Network,500000,
July,NFTically,2021,Gurugram,NFT Marketplace,Toshendra Sharma,Jayanti Kanani,Undisclosed,Seed
